model_name,env_id,prompt_chain,temperature,context_length,episode_reward,episode_length
random,Alien,,,,227.8,0
human,Alien,,,,7127.7,0
random,Amidar,,,,5.8,0
human,Amidar,,,,1719.5,0
random,Assault,,,,222.4,0
human,Assault,,,,742.0,0
random,Asterix,,,,210.0,0
human,Asterix,,,,8503.3,0
random,Asteroids,,,,719.1,0
human,Asteroids,,,,47388.7,0
random,Atlantis,,,,12850.0,0
human,Atlantis,,,,29028.1,0
random,BankHeist,,,,14.2,0
human,BankHeist,,,,753.1,0
random,BattleZone,,,,2360.0,0
human,BattleZone,,,,37187.5,0
random,BeamRider,,,,363.9,0
human,BeamRider,,,,16926.5,0
random,Berzerk,,,,123.7,0
human,Berzerk,,,,2630.4,0
random,Bowling,,,,23.1,0
human,Bowling,,,,160.7,0
random,Boxing,,,,0.1,0
human,Boxing,,,,12.1,0
random,Breakout,,,,1.7,0
human,Breakout,,,,30.5,0
random,Centipede,,,,2090.9,0
human,Centipede,,,,12017.0,0
random,ChopperCommand,,,,811.0,0
human,ChopperCommand,,,,7387.8,0
random,CrazyClimber,,,,10780.5,0
human,CrazyClimber,,,,35829.4,0
random,Defender,,,,2874.5,0
human,Defender,,,,18688.9,0
random,DemonAttack,,,,152.1,0
human,DemonAttack,,,,1971.0,0
random,DoubleDunk,,,,-18.6,0
human,DoubleDunk,,,,-16.4,0
random,Enduro,,,,0.0,0
human,Enduro,,,,860.5,0
random,FishingDerby,,,,-91.7,0
human,FishingDerby,,,,-38.7,0
random,Freeway,,,,0.0,0
human,Freeway,,,,29.6,0
random,Frostbite,,,,65.2,0
human,Frostbite,,,,4334.7,0
random,Gopher,,,,257.6,0
human,Gopher,,,,2412.5,0
random,Gravitar,,,,173.0,0
human,Gravitar,,,,3351.4,0
random,Hero,,,,1027.0,0
human,Hero,,,,30826.4,0
random,IceHockey,,,,-11.2,0
human,IceHockey,,,,0.9,0
random,Jamesbond,,,,29.0,0
human,Jamesbond,,,,302.8,0
random,Kangaroo,,,,52.0,0
human,Kangaroo,,,,3035.0,0
random,Krull,,,,1598.0,0
human,Krull,,,,2665.5,0
random,KungFuMaster,,,,258.5,0
human,KungFuMaster,,,,22736.3,0
random,MontezumaRevenge,,,,0.0,0
human,MontezumaRevenge,,,,4753.3,0
random,MsPacman,,,,307.3,0
human,MsPacman,,,,6951.6,0
random,NameThisGame,,,,2292.3,0
human,NameThisGame,,,,8049.0,0
random,Phoenix,,,,761.4,0
human,Phoenix,,,,7242.6,0
random,Pitfall,,,,-229.4,0
human,Pitfall,,,,6463.7,0
random,Pong,,,,-20.7,0
human,Pong,,,,14.6,0
random,PrivateEye,,,,24.9,0
human,PrivateEye,,,,69571.3,0
random,Qbert,,,,163.9,0
human,Qbert,,,,13455.0,0
random,Riverraid,,,,1338.5,0
human,Riverraid,,,,17118.0,0
random,RoadRunner,,,,11.5,0
human,RoadRunner,,,,7845.0,0
random,Robotank,,,,2.2,0
human,Robotank,,,,11.9,0
random,Seaquest,,,,68.4,0
human,Seaquest,,,,42054.7,0
random,Skiing,,,,-17098.1,0
human,Skiing,,,,-4336.9,0
random,Solaris,,,,1236.3,0
human,Solaris,,,,12326.7,0
random,SpaceInvaders,,,,148.0,0
human,SpaceInvaders,,,,1668.7,0
random,StarGunner,,,,664.0,0
human,StarGunner,,,,10250.0,0
random,Surround,,,,-10.0,0
human,Surround,,,,6.5,0
random,Tennis,,,,-23.8,0
human,Tennis,,,,-8.3,0
random,TimePilot,,,,3568.0,0
human,TimePilot,,,,5229.2,0
random,Tutankham,,,,11.4,0
human,Tutankham,,,,167.6,0
random,UpNDown,,,,533.4,0
human,UpNDown,,,,11693.2,0
random,Venture,,,,0.0,0
human,Venture,,,,1187.5,0
random,VideoPinball,,,,16256.9,0
human,VideoPinball,,,,17667.9,0
random,WizardOfWor,,,,563.5,0
human,WizardOfWor,,,,4756.5,0
random,YarsRevenge,,,,3092.9,0
human,YarsRevenge,,,,54576.9,0
random,Zaxxon,,,,32.5,0
human,Zaxxon,,,,9173.3,0
